"ID","Slug","Scientific_Name","Common_Name","Type","Image_Filename","Search_Term"
"51","typha-latifolia","Typha Latifolia","Cattails","Shrub","typha-latifolia.jpg","Typha Latifolia plant"
"52","carex-obnupta","Carex Obnupta","Slough sedge","Shrub","carex-obnupta.jpg","Carex Obnupta plant"
"53","salix-sitchensis-50p","Salix sitchensis - #50p","Willow","Tree","salix-sitchensis-50p.jpg","Salix sitchensis - #50p plant"
"54","populus-balsamifera-trichocarpa-50p","Populus Balsamifera Trichocarpa - #50P","Black Cottonwood","Tree","populus-balsamifera-trichocarpa-50p.jpg","Populus Balsamifera Trichocarpa - #50P plant"
"56","alnus-rubra","Alnus Rubra","Red Alder ","Shrub","alnus-rubra.jpg","Alnus Rubra plant"
"57","populus-trichocarpa","Populus Trichocarpa","Black Cottonwood ","Tree","populus-trichocarpa.jpg","Populus Trichocarpa plant"
"58","symphoricarpos-albus","Symphoricarpos Albus","Common Snowberry ","Shrub","symphoricarpos-albus.jpg","Symphoricarpos Albus plant"
"59","oemleria-cerasiformis","Oemleria Cerasiformis","Indian Plum","Shrub","oemleria-cerasiformis.jpg","Oemleria Cerasiformis plant"
"60","sambucus-racemosa","Sambucus Racemosa","Red Elderberry ","Shrub","sambucus-racemosa.jpg","Sambucus Racemosa plant"
"61","rubus-spectabilis","Rubus Spectabilis","Salmonberry ","Shrub","rubus-spectabilis.jpg","Rubus Spectabilis plant"
"62","rosa-nutkana","Rosa Nutkana","Nootka Rose ","Shrub","rosa-nutkana.jpg","Rosa Nutkana plant"
"63","lonicera-involucrata","Lonicera  Involucrata","Twinberry","Shrub","lonicera-involucrata.jpg","Lonicera  Involucrata plant"
"64","salix-sitchensis-livstakes","Salix Sitchensis - #LivStakes","Sitika Willow","Tree","salix-sitchensis-livstakes.jpg","Salix Sitchensis - #LivStakes plant"
"65","corylus-cornuta","Corylus Cornuta","Beaked Hazel","Shrub","corylus-cornuta.jpg","Corylus Cornuta plant"
"66","acer-griseum-bb","Acer Griseum - #B&B","Paperbark Maple","Shrub","acer-griseum-bb.jpg","Acer Griseum - #B&B plant"
"67","acer-palmatum-bloodgood-bb","Acer Palmatum BloodGood - B&B","Japanese maple","Shrub","acer-palmatum-bloodgood-bb.jpg","Acer Palmatum BloodGood - B&B plant"
"68","hamamelis-x-intermedia-arnold-promise","Hamamelis X intermedia 'Arnold Promise'","Witch Hazel","Shrub","hamamelis-x-intermedia-arnold-promise.jpg","Hamamelis X intermedia 'Arnold Promise' plant"
"69","astilbe-arendsii-diamond","Astilbe Arendsii Diamond","Arendsii Hybrid","Shrub","astilbe-arendsii-diamond.jpg","Astilbe Arendsii Diamond plant"
"70","blechnum-spicant","Blechnum Spicant","Deer Fern","Shrub","blechnum-spicant.jpg","Blechnum Spicant plant"
"71","camellia-japonica-apple-blossom","Camellia Japonica 'Apple Blossom'","Apple Blossom Camellia","Shrub","camellia-japonica-apple-blossom.jpg","Camellia Japonica 'Apple Blossom' plant"
"72","cornus-sericea-kelseyi","Cornus Sericea 'Kelseyi'","Kelseyi Dogwood","Tree","cornus-sericea-kelseyi.jpg","Cornus Sericea 'Kelseyi' plant"
"73","hakonechloa-macra","Hakonechloa Macra","Hakone Grass","Shrub","hakonechloa-macra.jpg","Hakonechloa Macra plant"
